112.109.206.18,#福建综合频道,0.21MB/s
39.77.26.75,#山东齐鲁频道,0.20MB/s
113.58.31.23,#CCTV-6电影,0.20MB/s
39.77.161.85,#山东生活频道,0.20MB/s
60.4.28.19,#CCTV兵器科技,0.20MB/s
124.112.188.96,#卡酷少儿,0.20MB/s
112.192.73.226,#金鹰卡通,0.19MB/s
171.119.206.204,#深圳卫视,0.19MB/s
183.164.237.178,#CCTV-12社会与法,0.19MB/s
115.171.216.32,#青海卫视,0.19MB/s
112.192.72.188,#金鹰卡通,0.19MB/s
1.192.242.239,#上海欢笑剧场,0.19MB/s
116.2.167.148,#辽宁生活频道,0.18MB/s
111.196.130.52,#华数动画,0.18MB/s
106.59.2.196,#澜湄国际频道,0.18MB/s
171.8.194.241,#河南都市频道,0.18MB/s
221.220.131.57,#北京卫视,0.18MB/s
220.167.170.252,#金鹰纪实,0.17MB/s
106.59.2.108,#云南娱乐频道,0.17MB/s
121.237.244.171,#黑龙江卫视,0.16MB/s
219.156.94.32,#广东卫视,0.15MB/s
114.254.80.46,#北京影视频道,0.13MB/s
171.8.138.218,#河南卫视,0.13MB/s
121.237.245.25,#黑龙江卫视,0.10MB/s
110.178.145.239,#CCTV-15音乐,0.09MB/s
39.77.163.249,#CCTV-4中文国际,0.03MB/s
61.159.134.254,#贵州卫视2,0.01MB/s
171.119.206.200,#河南卫视,0.01MB/s
180.213.170.24,#天津新闻频道,0.00MB/s
106.116.241.206,#九屏直播频道,0.00MB/s
223.198.241.63,#海南新闻频道,0.00MB/s
223.167.230.155,#新闻综合,0.00MB/s
27.154.99.234,#凤凰卫视资讯台,0.00MB/s
27.18.18.254,#湖北公共新闻,0.00MB/s
124.114.103.202,#陕西卫视,0.00MB/s
36.49.50.4,#吉林篮球,0.00MB/s
113.251.74.222,#重庆新闻频道,0.00MB/s
220.176.218.17,#江西影视旅游,0.00MB/s
171.8.105.131,#河南卫视,0.00MB/s
123.179.60.135,#内蒙古卫视,0.00MB/s
114.226.212.180,#江苏卫视,0.00MB/s
114.226.212.184,#江苏卫视,0.00MB/s
114.226.212.187,#江苏卫视,0.00MB/s
106.45.2.15,#宁夏卫视,0.00MB/s
1.58.66.11,#黑龙江卫视,0.00MB/s
42.237.212.20,#河南法治频道,0.00MB/s
211.158.168.220,#重庆移动频道,0.00MB/s
122.189.103.197,#湖北卫视,0.00MB/s
114.254.34.136,#北京财经频道,0.00MB/s
117.12.151.30,#天津卫视,0.00MB/s
